design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_experimental_convex_hull
map_0001,training,300,1,1.1,0.2,True
map_0003,training,300,10,1.4,0.1,True
map_0005,training,300,5,0.7,0.0,True
map_0007,training,300,1,0.6,0.2,True
map_0009,training,450,1,0.9,0.5,True
map_0011,training,450,5,1.1,0.0,True
map_0013,training,450,1,0.8,0.0,True
map_0015,training,300,5,1.0,0.2,True
map_0017,training,300,1,0.8,0.4,True
map_0019,training,300,1,1.2,0.5,True
map_0021,training,300,10,1.2,0.3,True
map_0023,training,300,1,0.9,0.0,True
map_0025,training,450,5,1.0,0.2,True
map_0027,training,450,1,0.8,0.3,True
map_0029,training,300,10,1.1,0.1,True
map_0031,training,450,1,1.2,0.5,True
map_0033,training,450,1,1.3,0.2,True
map_0035,training,300,1,1.4,0.4,True
map_0037,training,300,1,0.8,0.2,True
map_0039,training,450,5,0.9,0.0,True
map_0041,training,300,1,1.0,0.4,True
map_0043,training,300,5,1.4,0.0,True
map_0045,training,300,1,1.2,0.7,True
map_0047,training,300,5,0.8,0.2,True
map_0049,training,300,1,1.0,0.1,True
map_0051,training,300,1,0.7,0.1,True
map_0053,training,300,1,0.9,0.3,True
map_0055,training,300,1,0.9,0.5,True
map_0057,training,300,5,0.8,0.4,True
map_0059,training,300,1,1.3,0.3,True
map_0061,training,300,10,1.3,0.2,True
map_0063,training,300,5,1.2,0.3,True
map_0065,training,300,5,1.2,0.5,True
map_0067,training,300,1,0.8,0.05,True
map_0069,training,300,5,1.0,0.05,True
map_0071,training,300,5,1.3,0.05,True
map_0073,training,600,5,1.0,0.3,False
map_0075,training,300,20,1.4,0.0,False
map_0077,training,300,20,0.6,0.0,False
map_0079,training,750,1,1.4,0.7,False
map_0081,training,750,20,1.4,0.7,False
map_0083,training,750,1,1.4,0.0,False
map_0085,training,750,20,1.4,0.0,False
map_0087,training,450,1,0.6,0.3,False
map_0089,training,750,5,1.0,0.7,False
map_0091,training,750,5,0.6,0.4,False
map_0093,training,750,5,1.4,0.4,False
map_0095,training,450,20,1.0,0.7,False
map_0097,training,600,20,1.0,0.0,False
map_0099,training,750,20,1.0,0.4,False
map_0101,training,450,20,1.3,0.4,False
map_0103,training,450,20,0.7,0.3,False
map_0105,training,600,5,1.4,0.7,False
map_0107,training,450,1,0.6,0.7,False
map_0109,training,450,5,1.2,0.5,False
map_0111,training,300,20,1.0,0.0,False
map_0113,training,600,1,0.7,0.5,False
map_0115,training,450,10,1.1,0.1,False
map_0117,training,750,10,1.2,0.2,False
map_0119,training,600,20,1.4,0.2,False
map_0121,interpolation_holdout,300,1,1.0,0.2,True
map_0123,interpolation_holdout,300,1,0.7,0.7,True
map_0125,interpolation_holdout,450,5,1.0,0.0,True
map_0127,interpolation_holdout,450,1,1.4,0.05,True
map_0129,interpolation_holdout,300,1,0.6,0.05,True
map_0131,interpolation_holdout,300,1,1.4,0.3,True
map_0133,interpolation_holdout,600,10,1.0,0.3,False
map_0135,interpolation_holdout,750,1,0.6,0.05,False
map_0137,interpolation_holdout,750,1,1.4,0.5,False
map_0139,interpolation_holdout,300,10,1.4,0.0,False
map_0141,interpolation_holdout,750,5,0.6,0.7,False
map_0143,interpolation_holdout,750,10,1.4,0.7,False
